epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6681,0.93751,3.6907,1.24412,0.289,0.5991,0.36012,0.29605,0.54967,2.19821,0.93689,7.5e-05,7.5e-05,7.5e-05
2,28.3856,0.70587,1.7342,1.09386,0.85452,0.69418,0.89295,0.81111,0.4154,1.168,0.80099,0.000159819,0.000159819,0.000159819
3,30.9359,0.67406,0.95906,1.02417,0.82021,0.89712,0.93962,0.83325,0.52905,1.01354,0.83863,0.00024175,0.00024175,0.00024175
4,33.4426,0.59405,0.82719,0.95785,0.76651,0.88855,0.91263,0.79899,0.54613,1.04365,0.86346,0.000320794,0.000320794,0.000320794
5,36.2795,0.59716,0.76311,0.97246,0.92597,0.91367,0.9456,0.80956,0.51789,0.6,0.84444,0.00039695,0.00039695,0.00039695
6,39.2416,0.61906,0.72701,0.9715,0.88169,0.94722,0.94013,0.81835,0.52692,0.64497,0.8653,0.000470219,0.000470219,0.000470219
7,41.6658,0.64518,0.68226,0.99684,0.84043,0.88952,0.94377,0.81023,0.56064,0.79677,0.84575,0.0005406,0.0005406,0.0005406
8,43.9869,0.64833,0.64695,0.98502,0.86831,0.93829,0.96326,0.85254,0.51022,0.64955,0.83871,0.000608094,0.000608094,0.000608094
9,46.504,0.62629,0.63249,0.99845,0.79097,0.93134,0.90217,0.7579,0.54293,0.82403,0.85531,0.0006727,0.0006727,0.0006727
10,49.2899,0.60453,0.58926,0.98285,0.78216,0.85358,0.8979,0.71879,0.60713,0.86658,0.89407,0.000734419,0.000734419,0.000734419
11,52.2553,0.55365,0.53315,0.95347,0.80088,0.90367,0.93877,0.8154,0.56172,0.68914,0.86668,0.00079325,0.00079325,0.00079325
12,54.6323,0.57561,0.54103,0.97926,0.79367,0.82682,0.85158,0.7277,0.62923,0.76479,0.98016,0.000849194,0.000849194,0.000849194
13,57.0621,0.61023,0.55482,0.99893,0.85114,0.86703,0.86916,0.74673,0.57884,0.69654,0.89344,0.00090225,0.00090225,0.00090225
14,59.4647,0.59078,0.55701,0.96748,0.78693,0.91466,0.92408,0.78781,0.57078,0.66554,0.89931,0.000952419,0.000952419,0.000952419
15,62.1093,0.5613,0.51625,0.94881,0.8161,0.7567,0.85865,0.70626,0.5821,0.74922,0.92707,0.00096125,0.00096125,0.00096125
16,65.0421,0.56905,0.51644,0.95265,0.95034,0.68609,0.91235,0.80407,0.51658,0.79745,0.84995,0.000940625,0.000940625,0.000940625
17,67.405,0.55458,0.48737,0.94846,0.79265,0.90345,0.92479,0.81172,0.53022,0.73926,0.86825,0.00092,0.00092,0.00092
18,69.9077,0.58321,0.5117,0.97006,0.93289,0.92594,0.97724,0.86745,0.5082,0.53846,0.83171,0.000899375,0.000899375,0.000899375
19,72.3677,0.55912,0.50562,0.95006,0.91426,0.88979,0.95883,0.83975,0.47965,0.54338,0.83299,0.00087875,0.00087875,0.00087875
20,74.7953,0.5537,0.48871,0.96403,0.835,0.89877,0.96186,0.85168,0.45219,0.58259,0.81962,0.000858125,0.000858125,0.000858125
21,77.9012,0.55894,0.51333,0.97803,0.88755,0.89722,0.93893,0.82788,0.44441,0.59575,0.81709,0.0008375,0.0008375,0.0008375
22,80.3201,0.54509,0.49352,0.94113,0.88342,0.91558,0.95054,0.84217,0.47819,0.54583,0.82991,0.000816875,0.000816875,0.000816875
23,82.7257,0.54251,0.47627,0.95796,0.89744,0.95453,0.98558,0.90608,0.46026,0.4854,0.81122,0.00079625,0.00079625,0.00079625
24,85.1275,0.5708,0.45843,0.97824,0.82877,0.94357,0.93798,0.85099,0.44744,0.57945,0.80897,0.000775625,0.000775625,0.000775625
25,87.522,0.5142,0.45463,0.93964,0.8184,0.89873,0.90938,0.82587,0.4608,0.64868,0.81465,0.000755,0.000755,0.000755
26,90.885,0.51414,0.44652,0.93663,0.94732,0.9523,0.99273,0.91788,0.43962,0.40047,0.81035,0.000734375,0.000734375,0.000734375
27,93.3446,0.55668,0.46382,0.95574,0.95613,0.99604,0.995,0.90214,0.41385,0.35724,0.80972,0.00071375,0.00071375,0.00071375
28,95.7165,0.54009,0.46273,0.97604,0.96236,0.93049,0.99225,0.89544,0.44105,0.44148,0.81599,0.000693125,0.000693125,0.000693125
29,98.0707,0.51654,0.4445,0.94891,0.94108,0.93404,0.995,0.89521,0.41171,0.42733,0.81233,0.0006725,0.0006725,0.0006725
30,100.544,0.55517,0.47721,0.96949,0.98436,0.96017,0.99273,0.91489,0.41407,0.35714,0.8034,0.000651875,0.000651875,0.000651875
31,103.736,0.5416,0.47277,0.97343,0.97338,1,0.995,0.91154,0.40588,0.30995,0.79911,0.00063125,0.00063125,0.00063125
32,106.208,0.47691,0.41184,0.92686,0.98548,1,0.995,0.92279,0.36386,0.31038,0.78977,0.000610625,0.000610625,0.000610625
33,108.621,0.50372,0.42926,0.93901,0.97908,0.99595,0.995,0.92403,0.36583,0.29556,0.7909,0.00059,0.00059,0.00059
34,111.078,0.48135,0.40026,0.93295,0.99132,0.97446,0.995,0.93285,0.34164,0.28683,0.78435,0.000569375,0.000569375,0.000569375
35,113.578,0.47637,0.37635,0.92246,0.97979,0.97622,0.995,0.93012,0.34106,0.29292,0.78505,0.00054875,0.00054875,0.00054875
36,116.717,0.4865,0.40752,0.93798,0.98594,1,0.995,0.92953,0.3525,0.27731,0.78417,0.000528125,0.000528125,0.000528125
37,119.153,0.47894,0.38494,0.94287,0.98636,1,0.995,0.93503,0.35471,0.27646,0.78475,0.0005075,0.0005075,0.0005075
38,121.556,0.48915,0.42716,0.95137,0.98703,0.98641,0.995,0.93744,0.3544,0.29254,0.78608,0.000486875,0.000486875,0.000486875
39,123.965,0.43305,0.3762,0.9072,0.94752,0.97222,0.98545,0.92684,0.35154,0.28728,0.78753,0.00046625,0.00046625,0.00046625
40,126.513,0.47961,0.40187,0.93031,0.95641,0.94444,0.98041,0.91759,0.34647,0.30157,0.78673,0.000445625,0.000445625,0.000445625
41,129.651,0.45221,0.39185,0.91386,0.8828,0.9947,0.97283,0.91047,0.35442,0.307,0.78859,0.000425,0.000425,0.000425
